Id,Title,Original Title,Original Language,Overview,Revenue,Budget,Runtime,Release Date,Vote Average,Vote Count,Genres,Production Companies,Production Countries,Spoken Languages,Director,Stars,PosterFile
1084384,The Ideal Squad,Biệt Đội Rất Ổn,vi,"Biệt Đội Lý Tưởng là một bộ phim hài, xoay quanh bộ đôi Khuê (Hoàng Oanh) và Phong (Hua Vi Vân). Sau một lần tình cờ gặp gỡ, bộ đôi đã lôi kéo Bảy Cúc (Võ Tấn Phát), Bảy Sức (Nguyễn Thảo), Quáu (Ngọc Phước), Quo (Ngọc Hòa) tham gia một nhiệm vụ đặc biệt: Hoán đổi chiếc vòng tay đi kèm. Nụ hôn gắn kim cương quý giá và lộ bộ mặt thật của Tuấn (Quang Tuấn) - chồng cũ của Khuê trong đám cưới giữa anh và Tú Xoan (Lê Khánh) - nữ đại gia miền Tây sở hữu khối tài sản triệu USD. Sự kết hợp bất đắc dĩ của Biệt Đội Lý Tưởng - Phong, Khuê và Gia Đình Cúc Sức nhắm vào tầm mắt ""cô dâu chú rể"" tại khu nghỉ dưỡng sang trọng hứa hẹn sẽ vô cùng gay cấn, hồi hộp nhưng không kém phần hài hước, giàu cảm xúc.",427714,4000000,104,31/03/2023,4.5,12,['Comedy'],['CJ HK Entertainment'],['Vietnam'],['Tiếng Việt'],Ta Nguyen Hiep,"['Vi Van Hua', 'Khanh Le', 'Hoàng Oanh', 'Ngoc Phuoc', Vo Tan Phat', 'Lac Hoang Long']",posters\Biệt_Đội_Rất_Ổn.jpg
1027268,Glorious Ashes,Tro tàn rực rỡ,vi,"Lấy bối cảnh tại ngôi làng nghèo ven biển Thơm Rơm ở đồng bằng sông Cửu Long, bộ phim kể về cuộc đời của ba người phụ nữ có đời sống tình cảm khác thường và độc đáo theo bản chất của họ. Bộ phim được kể lại dưới góc nhìn của Hậu, khi cô trải nghiệm cuộc sống với một người chồng chỉ để mắt đến một người phụ nữ khác và phát triển tình bạn ngày càng lớn mạnh với tình địch của mình.",176398,3000000,117,02/12/2022,7,283,['Drama'],"['Ân Nam Films', 'Viet Vision', 'Fleur de Lys']","['France', 'Singapore', 'Vietnam']",['Tiếng Việt'],Bui Thac Chuyên,"['Hoang Le Cong', 'Bao Ngoc Doling Juliet', 'Phuong Anh Dao']",posters\Tro_tàn_rực_rỡ.jpg
31174028,Mai,Mai,vi,"Bị ám ảnh không ngừng bởi quá khứ, Mai được chào đón bởi một bình minh mới khi cô miễn cưỡng kết bạn với người đàn ông hàng xóm. Nhưng hôm qua cô ấy đuổi kịp cô ấy thì ngày mai cô ấy sẽ ra sao?",22119910,2503150,133,10/02/2024,6.8,495,"['Drama', 'Comedy', 'Romance']",['Trấn Thành Town'],['Vietnam'],['Tiếng Việt'],Tran Thanh,"['Tuan Tran', 'Phuong Anh Dao', 'Hong Dao', 'Ngoc Giau', 'Quoc Khanh', 'Manh Lan' ,'Tran Thanh', 'Tuan Tran']",poster\Mai.jpg
937231,Muoi: The Legend of  a Portrait,Mười,vi,"“Muội” vạch ra con đường của một nhà văn Hàn Quốc tới Việt Nam tìm kiếm truyện cho cuốn tiểu thuyết thứ hai của mình. Ở đó, cô biết được một bí ẩn xoay quanh một linh hồn báo thù có niên đại hàng thế kỷ.",1245621,2300000,93,26/07/2007,5.7,23,"['Drama', 'History', 'Horror', 'Mystery', 'Thriller']","['Billy Pictures', 'CJ Entertainment', 'Donuts Media']","['South Korea', 'Vietnam']","['Tiếng Việt', 'Tiếng Hàn']",Tae-kyeong Kim,"['Jo An', 'So-hee Hong', 'Hong-Anh']",posters\Mười.jpg
806218,Camellia Sisters 5 - Living Like Royalty,Gái Già Lắm Chiêu V: Những Cuộc Đời Vương Giả,vi,Ba chị em đoàn tụ trong cung điện giàu có mà họ lớn lên khi những bí mật trong gia đình họ bắt đầu được làm sáng tỏ.,2337221,2000000,115,05/03/2021,4.8,176,"['Comedy', 'Drama']",['Lotte Entertainment'],['Vietnam'],['Tiếng Việt'],Nam Cito,"['Kaity Nguyen', 'Le Khanh', 'Hong Van', 'Le Khuong', 'Hoang Dung']",posters\Gái_Già_Lắm_Chiêu_V_Những_Cuộc_Đời_Vương_Giả.jpg
959326,Em and Trinh,Em và Trịnh,vi,"Bộ phim xoay quanh nhạc sĩ biểu tượng Trịnh Công Sơn và những nàng thơ đến rồi đi trong cuộc đời ông, từ tuổi trẻ đầy nhiệt huyết những năm 1960 cho đến cuối những năm 1990 ở tuổi trung niên.",4165607,1967340,136,17/06/2022,6.1,187,"['Romance', 'Music']","['Galaxy Play', 'Galaxy Studio']",['Vietnam'],['Tiếng Việt'],Phan Gia Nhat Linh,"['Hoang Ha', 'Ha Quoc Hoang', 'Nguyen Le Viet Hung']",posters\Em_và_Trịnh.jpg
988667,Furies,Thanh Sói: Cúc Dại Trong Đêm,vi,"Phần tiền truyện của Furie (2019). Kể về cuộc đời thuở ban đầu của Thanh Sói, kẻ phản diện độc ác của Hai Phượng trên con phố tàn nhẫn ngày xưa ở Sài Gòn.",977950,1810665,109,23/03/2023,5.8,57,"['Action', 'Crime', 'Thriller']",['Studio68'],['Vietnam'],['Tiếng Việt'],Veronica Ngo,"['Dong Anh Quynh', 'Toc Tien', 'Thuan Nguyen']",posters\Thanh_Sói_Cúc_Dại_Trong_Đêm.jpg
13776794,Face Off: 48H,Lật Mặt 5: 48H,vi,"Phải chạy trốn khỏi băng nhóm tội phạm sau một giao dịch nhầm lẫn, tay võ sĩ đã giải nghệ có 2 ngày để giải quyết ân oán với tên trùm. Nếu thất bại, anh có thể mất cả vợ lẫn con.",6325526,1692578,110,18/06/2021,5.3,117,['Action'],['Ly Hai Production'],['Vietnam'],['Tiếng Việt'],Ly Hai,"['Le Ha Anh', 'Tiet Cuong', 'Huynh Dong', 'Mac Van Khoa', 'Oc Thanh Van']",
1124863,Song of the South,Đất Rừng Phương Nam,vi,"Khi chế độ thực dân Pháp chấm dứt bạo lực ở Việt Nam, cậu bé 12 tuổi thực hiện hành trình đầy nguy hiểm để tìm kiếm người cha ghẻ lạnh của mình.",5771947,1600000,110,20/10/2023,6.2,290,"['War', 'Family', 'Drama']","['HK Films', 'Galaxy Studio', 'Trấn Thành Town', 'Kim Entertainment']",['Vietnam'],['Tiếng Việt'],Quang Dung Nguyen,"['Bang Di', 'Hong-Anh', 'Vi Van Hua', 'Tran Thanh', 'Tuan Tran']",posters\Đất_Rừng_Phương_Nam.jpg
24221,The Rebel,Dòng Máu Anh Hùng,vi,"Khi Pháp cai trị Việt Nam vào năm 1922, các sĩ quan Pháp và Việt Nam âm mưu đánh hơi tên phản loạn Đề Cảnh.",430150,1500000,103,27/04/2007,6.8,1006,"['Action', 'Drama']",[],['Vietnam'],"['Tiếng Pháp', 'Tiếng Việt']",Charlie Nguyen,"['Johnny Tri Nguyen', 'Veronica Ngo', 'Dustin Nguyen']",posters\Dòng_Máu_Anh_Hùng.jpg
